,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2021-06-05 11:45:22,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
1,2021-06-05 11:45:22,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
2,2021-06-05 11:00:15,Other,AIR TEMPERATURE 1 HOUR BEFORE Q1 = 27 DEGREES,,,,,,
3,2021-06-05 11:45:22,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
4,2021-06-05 12:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
5,2021-06-05 12:03:51,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
6,2021-06-05 12:03:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
7,2021-06-05 12:03:59,Flag,RED FLAG,,RED,Track,,,
8,2021-06-05 12:03:59,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
9,2021-06-05 12:05:44,Other,MEDICAL CAR DEPLOYED,,,,,,
10,2021-06-05 12:13:21,Other,SESSION WILL RE-START AT 16:15,,,,,,
11,2021-06-05 12:13:24,Flag,TRACK CLEAR,,CLEAR,Track,,,
12,2021-06-05 12:13:31,Drs,DRS ENABLED,ENABLED,,,,,
13,2021-06-05 12:15:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
14,2021-06-05 12:19:28,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
15,2021-06-05 12:19:31,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
16,2021-06-05 12:19:40,Flag,RED FLAG,,RED,Track,,,
17,2021-06-05 12:19:40,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
18,2021-06-05 12:19:40,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
19,2021-06-05 12:21:44,Other,MEDICAL CAR DEPLOYED,,,,,,
20,2021-06-05 12:27:13,Other,SESSION WILL RE-START AT 16:29,,,,,,
21,2021-06-05 12:27:16,Flag,TRACK CLEAR,,CLEAR,Track,,,
22,2021-06-05 12:27:18,Drs,DRS ENABLED,ENABLED,,,,,
23,2021-06-05 12:29:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
24,2021-06-05 12:30:17,Other,CAR 4 (NOR) WILL BE INVESTIGATED AFTER THE SESSION - RED FLAG PROCEDURES,,,,,,
25,2021-06-05 12:36:03,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
26,2021-06-05 12:36:04,Other,DRS DISABLED IN ZONE 1,,,,,,
27,2021-06-05 12:36:35,Other,DRS ENABLED IN ZONE 1,,,,,,
28,2021-06-05 12:36:35,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
29,2021-06-05 12:36:40,CarEvent,CAR 9 (MAZ) OFF TRACK AND CONTINUED AT TURN 3,,,,,9,
30,2021-06-05 12:37:30,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 6,,,,,,
31,2021-06-05 12:37:44,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
32,2021-06-05 12:38:22,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
33,2021-06-05 12:40:39,Other,Q2 WILL START AT 16:46,,,,,,
34,2021-06-05 12:42:49,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
35,2021-06-05 12:42:50,Other,DRS DISABLED IN ZONE 1,,,,,,
36,2021-06-05 12:42:59,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
37,2021-06-05 12:43:00,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
38,2021-06-05 12:43:00,Other,DRS ENABLED IN ZONE 1,,,,,,
39,2021-06-05 12:43:07,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
40,2021-06-05 12:43:24,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
41,2021-06-05 12:43:28,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
42,2021-06-05 12:46:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
43,2021-06-05 12:59:23,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
44,2021-06-05 12:59:24,Other,DRS DISABLED IN ZONE 1,,,,,,
45,2021-06-05 12:59:31,Flag,RED FLAG,,RED,Track,,,
46,2021-06-05 12:59:31,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
47,2021-06-05 12:59:56,Other,SESSION WILL NOT BE RESTARTED,,,,,,
48,2021-06-05 13:02:34,Other,MEDICAL CAR DEPLOYED,,,,,,
49,2021-06-05 13:04:59,Other,Q3 WILL START AT 17:09,,,,,,
50,2021-06-05 13:05:16,Flag,TRACK CLEAR,,CLEAR,Track,,,
51,2021-06-05 13:05:18,Drs,DRS ENABLED,ENABLED,,,,,
52,2021-06-05 13:09:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
53,2021-06-05 13:20:54,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
54,2021-06-05 13:20:55,Other,DRS DISABLED IN ZONE 1,,,,,,
55,2021-06-05 13:20:59,Flag,RED FLAG,,RED,Track,,,
56,2021-06-05 13:21:00,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
57,2021-06-05 13:22:35,Other,SESSION WILL NOT BE RESTARTED,,,,,,
58,2021-06-05 13:25:01,Flag,TRACK CLEAR,,CLEAR,Track,,,
59,2021-06-05 13:25:11,Other,RISK OF RAIN FOR F2 SECOND RACE IS 0%,,,,,,
