,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2026-05-02 19:56:11,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
1,2026-05-02 19:56:11,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2,2026-05-02 20:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
3,2026-05-02 20:05:02,Other,CAR 23 (ALB) TIME 1:42.439 DELETED - TRACK LIMITS AT TURN 11 LAP 3 16:03:41,,,,,,
4,2026-05-02 20:14:51,Other,CAR 43 (COL) TIME 2:10.089 DELETED - TRACK LIMITS AT TURN 15 LAP 6 16:13:16,,,,,,
5,2026-05-02 20:16:40,Flag,BLACK AND WHITE FLAG FOR CAR 43 (COL) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,BLACK AND WHITE,Driver,,43,
6,2026-05-02 20:16:48,Other,CAR 43 (COL) TIME 2:16.950 DELETED - TRACK LIMITS AT TURN 15 LAP 7 16:15:31,,,,,,
7,2026-05-02 20:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
8,2026-05-02 20:18:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 30 (LAW),,,,,,
9,2026-05-02 20:18:59,Other,CAR 14 (ALO) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 9 16:18:13 (PIT),,,,,,
10,2026-05-02 20:19:22,Other,CAR 27 (HUL) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 9 16:18:27 (PIT),,,,,,
11,2026-05-02 20:20:43,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
12,2026-05-02 20:21:23,Other,START OF Q2 WILL BE DELAYED,,,,,,
13,2026-05-02 20:21:34,Other,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 10 16:20:01 (PIT),,,,,,
14,2026-05-02 20:21:55,Other,CAR 77 (BOT) LAP DELETED - DOUBLE YELLOW AT TURN 16,,,,,,
15,2026-05-02 20:22:30,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
16,2026-05-02 20:22:50,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 43 (COL), 23 (ALB), 55 (SAI), 5 (BOR), 44 (HAM), 14 (ALO), 18 (STR), 1 (NOR), 27 (HUL), 81 (PIA) AND 77 (BOT) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
17,2026-05-02 20:23:05,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 43 (COL), 23 (ALB), 55 (SAI), 5 (BOR), 44 (HAM), 14 (ALO), 18 (STR), 1 (NOR), 27 (HUL), 81 (PIA) AND 77 (BOT) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
18,2026-05-02 20:23:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
19,2026-05-02 20:23:35,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
20,2026-05-02 20:23:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
21,2026-05-02 20:25:33,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 17,,,,,,
22,2026-05-02 20:25:34,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
23,2026-05-02 20:25:48,Other,Q2 WILL START AT 16:29,,,,,,
24,2026-05-02 20:25:55,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 17,,,,,,
25,2026-05-02 20:27:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
26,2026-05-02 20:27:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
27,2026-05-02 20:27:40,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
28,2026-05-02 20:27:40,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
29,2026-05-02 20:29:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
30,2026-05-02 20:33:01,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
31,2026-05-02 20:34:15,Other,CAR 1 (NOR) LAP DELETED - TRACK LIMITS AT TURN 6 LAP 9 16:32:32 (PIT),,,,,,
32,2026-05-02 20:44:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
33,2026-05-02 20:44:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 30 (LAW),,,,,,
