,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2021-05-01 13:45:04,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
1,2021-05-01 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2,2021-05-01 14:05:08,Other,CAR 16 (LEC) TIME 1:36.555 DELETED - TRACK LIMITS AT TURN 4,,,,,,
3,2021-05-01 14:07:30,Other,CAR 7 (RAI) TIME 1:20.740 DELETED - TRACK LIMITS AT TURN 4,,,,,,
4,2021-05-01 14:07:56,Other,CAR 9 (MAZ) TIME 1:21.580 DELETED - TRACK LIMITS AT TURN 1,,,,,,
5,2021-05-01 14:09:00,Other,CAR 44 (HAM) TIME 1:18.726 DELETED - TRACK LIMITS AT TURN 1,,,,,,
6,2021-05-01 14:09:53,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
7,2021-05-01 14:10:11,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
8,2021-05-01 14:10:25,CarEvent,CAR 14 (ALO) SPUN AND CONTINUED AT TURN 14,,,,,14,
9,2021-05-01 14:11:49,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
10,2021-05-01 14:11:50,Other,DRS DISABLED IN ZONE 1,,,,,,
11,2021-05-01 14:12:05,Other,DRS ENABLED IN ZONE 1,,,,,,
12,2021-05-01 14:12:05,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
13,2021-05-01 14:12:19,CarEvent,CAR 11 (PER) SPUN AND CONTINUED AT TURN 4,,,,,11,
14,2021-05-01 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
15,2021-05-01 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
16,2021-05-01 14:28:12,Other,CAR 7 (RAI) TIME 1:26.919 DELETED - TRACK LIMITS AT TURN 1,,,,,,
17,2021-05-01 14:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
18,2021-05-01 14:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
19,2021-05-01 14:52:14,Other,CAR 33 (VER) TIME 1:18.209 DELETED - TRACK LIMITS AT TURN 4,,,,,,
20,2021-05-01 15:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
21,2021-05-01 15:02:04,Other,CAR 10 (GAS) TIME 1:19.375 DELETED - TRACK LIMITS AT TURN 14,,,,,,
