,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:14.542000,27.9,45.0,1007.9,False,34.5,29,2.9
1,0 days 00:01:14.570000,27.8,45.0,1007.9,False,34.4,9,2.9
2,0 days 00:02:14.574000,27.9,45.0,1007.9,False,34.6,9,2.7
3,0 days 00:03:14.590000,27.9,45.0,1007.9,False,34.4,25,3.2
4,0 days 00:04:14.608000,27.8,45.0,1007.8,False,34.4,17,2.9
5,0 days 00:05:14.607000,27.7,45.0,1007.9,False,34.5,13,2.7
6,0 days 00:06:14.627000,27.7,45.0,1007.8,False,34.5,26,2.7
7,0 days 00:07:14.609000,27.7,45.0,1007.8,False,34.8,12,2.7
8,0 days 00:08:14.629000,27.6,46.0,1007.9,False,34.4,26,3.0
9,0 days 00:09:14.618000,27.5,46.0,1007.8,False,34.1,26,3.4
10,0 days 00:10:14.755000,27.5,46.0,1008.0,False,34.0,30,2.9
11,0 days 00:11:14.626000,27.5,46.0,1008.0,False,34.0,26,3.3
12,0 days 00:12:14.627000,27.5,45.0,1007.8,False,34.0,23,3.1
13,0 days 00:13:14.646000,27.5,45.0,1007.9,False,33.8,17,3.4
14,0 days 00:14:14.639000,27.6,45.0,1007.9,False,33.7,20,2.8
15,0 days 00:15:14.638000,27.6,46.0,1007.9,False,33.8,22,2.0
16,0 days 00:16:14.660000,27.6,46.0,1007.9,False,33.6,42,2.0
17,0 days 00:17:14.653000,27.5,46.0,1007.9,False,33.6,18,1.8
18,0 days 00:18:14.669000,27.5,46.0,1007.9,False,33.4,19,2.1
19,0 days 00:19:14.686000,27.5,46.0,1007.8,False,33.4,18,2.5
20,0 days 00:20:14.678000,27.5,46.0,1007.9,False,33.6,13,1.6
21,0 days 00:21:14.711000,27.5,46.0,1007.9,False,33.4,9,2.6
22,0 days 00:22:14.733000,27.5,46.0,1007.9,False,33.3,34,2.1
23,0 days 00:23:14.728000,27.5,46.0,1008.0,False,32.9,27,1.5
24,0 days 00:24:14.759000,27.6,46.0,1008.0,False,31.6,6,2.5
25,0 days 00:25:14.768000,27.6,45.0,1008.0,False,33.4,0,2.4
26,0 days 00:26:14.766000,27.5,45.0,1007.9,False,33.8,32,2.7
27,0 days 00:27:14.793000,27.5,45.0,1007.9,False,33.5,34,2.3
28,0 days 00:28:14.807000,27.5,45.0,1007.8,False,33.6,14,2.1
29,0 days 00:29:14.815000,27.4,46.0,1007.9,False,33.6,28,1.8
30,0 days 00:30:14.814000,27.4,46.0,1007.9,False,33.5,23,1.6
31,0 days 00:31:14.813000,27.3,46.0,1007.9,False,33.4,21,1.5
32,0 days 00:32:14.816000,27.3,46.0,1007.9,False,33.4,28,1.8
33,0 days 00:33:14.817000,27.3,46.0,1007.9,False,33.5,31,1.5
34,0 days 00:34:14.806000,27.3,46.0,1007.9,False,33.4,11,2.1
35,0 days 00:35:14.817000,27.3,46.0,1007.9,False,33.1,19,2.3
36,0 days 00:36:14.817000,27.3,46.0,1007.9,False,33.1,34,1.8
37,0 days 00:37:14.846000,27.4,45.0,1007.9,False,33.3,8,1.9
38,0 days 00:38:14.855000,27.4,44.0,1007.9,False,33.5,5,2.2
39,0 days 00:39:14.890000,27.3,43.0,1007.9,False,33.4,59,2.5
40,0 days 00:40:14.868000,27.3,43.0,1007.8,False,33.4,26,3.0
41,0 days 00:41:14.871000,27.3,43.0,1007.9,False,33.2,8,2.5
42,0 days 00:42:14.868000,27.2,43.0,1007.8,False,33.1,16,2.8
43,0 days 00:43:14.892000,27.2,43.0,1007.9,False,33.0,11,2.2
44,0 days 00:44:14.872000,27.3,43.0,1007.9,False,33.0,29,3.0
45,0 days 00:45:14.902000,27.2,43.0,1007.9,False,32.8,14,2.6
46,0 days 00:46:14.905000,27.1,43.0,1007.9,False,32.7,18,2.7
47,0 days 00:47:14.914000,27.1,44.0,1008.0,False,32.7,30,2.0
48,0 days 00:48:14.903000,27.2,44.0,1008.0,False,32.6,31,1.8
49,0 days 00:49:14.889000,27.3,44.0,1008.0,False,32.6,35,2.1
50,0 days 00:50:14.889000,27.3,45.0,1007.9,False,32.5,24,2.4
51,0 days 00:51:14.904000,27.3,44.0,1008.0,False,32.3,51,3.2
52,0 days 00:52:14.907000,27.2,44.0,1008.0,False,32.2,24,2.9
53,0 days 00:53:14.904000,27.2,44.0,1008.0,False,32.4,35,2.9
54,0 days 00:54:14.908000,27.2,44.0,1008.1,False,32.2,30,2.7
55,0 days 00:55:14.912000,27.2,44.0,1008.1,False,32.2,21,2.6
56,0 days 00:56:14.914000,27.2,44.0,1008.0,False,31.9,37,3.6
57,0 days 00:57:14.902000,27.2,44.0,1008.0,False,31.9,20,3.2
58,0 days 00:58:14.913000,27.1,45.0,1008.0,False,31.9,30,2.7
59,0 days 00:59:14.935000,27.1,45.0,1008.0,False,31.8,19,2.8
60,0 days 01:00:14.935000,27.1,45.0,1008.0,False,31.9,31,1.4
61,0 days 01:01:14.946000,27.1,46.0,1008.1,False,31.9,23,2.2
62,0 days 01:02:14.964000,27.0,46.0,1008.0,False,31.6,344,2.1
63,0 days 01:03:14.950000,27.0,46.0,1008.0,False,31.8,24,1.9
64,0 days 01:04:14.958000,27.0,46.0,1008.0,False,31.9,17,1.2
65,0 days 01:05:14.958000,27.0,46.0,1008.0,False,31.9,17,2.4
66,0 days 01:06:14.952000,27.0,46.0,1008.1,False,32.0,26,2.4
67,0 days 01:07:14.969000,27.0,46.0,1008.1,False,32.0,34,2.6
68,0 days 01:08:14.966000,27.0,46.0,1008.0,False,32.0,36,1.5
69,0 days 01:09:14.952000,27.0,45.0,1008.0,False,32.0,38,2.6
