,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2021-08-28 12:45:09,Other,LIGHT BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
1,2021-08-28 12:45:34,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 100%,,,,,,
2,2021-08-28 12:45:43,Other,LOW GRIP CONDITIONS,,,,,,
3,2021-08-28 12:46:09,Other,WET TRACK,,,,,,
4,2021-08-28 12:46:29,Drs,DRS DISABLED,DISABLED,,,,,
5,2021-08-28 12:00:03,Other,AIR TEMPERATURE 1 HOUR BEFORE Q1 = 14 DEGREES,,,,,,
6,2021-08-28 12:44:41,Other,CHANGE IN CLIMATIC CONDITIONS,,,,,,
7,2021-08-28 12:45:09,Other,LIGHT BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
8,2021-08-28 12:45:34,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 100%,,,,,,
9,2021-08-28 12:45:43,Other,LOW GRIP CONDITIONS,,,,,,
10,2021-08-28 12:46:09,Other,WET TRACK,,,,,,
11,2021-08-28 12:00:03,Other,AIR TEMPERATURE 1 HOUR BEFORE Q1 = 14 DEGREES,,,,,,
12,2021-08-28 12:44:41,Other,CHANGE IN CLIMATIC CONDITIONS,,,,,,
13,2021-08-28 12:45:09,Other,LIGHT BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
14,2021-08-28 12:45:34,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 100%,,,,,,
15,2021-08-28 12:45:43,Other,LOW GRIP CONDITIONS,,,,,,
16,2021-08-28 12:46:09,Other,WET TRACK,,,,,,
17,2021-08-28 12:46:29,Drs,DRS DISABLED,DISABLED,,,,,
18,2021-08-28 12:56:30,Other,START OF THE QUALIFYING SESSION WILL BE DELAYED,,,,,,
19,2021-08-28 12:57:58,Other,A 5MIN WARNING PRIOR TO Q1 WILL BE PROVIDED,,,,,,
20,2021-08-28 13:06:49,Other,Q1 WILL START AT 15:12,,,,,,
21,2021-08-28 13:12:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
22,2021-08-28 13:15:50,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
23,2021-08-28 13:15:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
24,2021-08-28 13:16:05,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,,
25,2021-08-28 13:16:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,,
26,2021-08-28 13:16:06,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
27,2021-08-28 13:16:07,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
28,2021-08-28 13:16:11,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
29,2021-08-28 13:16:21,CarEvent,CAR 6 (LAT) SPUN AND CONTINUED AT TURN 12,,,,,6,
30,2021-08-28 13:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
31,2021-08-28 13:30:28,Other,FIRST CAR TO TAKE THE FLAG - CAR 3 (RIC),,,,,,
32,2021-08-28 13:32:43,Other,Q2 WILL START AT 15:37,,,,,,
33,2021-08-28 13:37:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
34,2021-08-28 13:43:17,CarEvent,CAR 16 (LEC) MISSED THE APEX OF TURN 6,,,,,16,
35,2021-08-28 13:49:39,Other,TURN 18 INCIDENT INVOLVING CARS 55 (SAI) AND 31 (OCO) NOTED,,,,,,
36,2021-08-28 13:52:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
37,2021-08-28 13:52:15,Other,FIRST CAR TO TAKE THE FLAG - CAR 18 (STR),,,,,,
38,2021-08-28 13:54:03,Other,TURN 18 INCIDENT INVOLVING CARS 55 (SAI) AND 31 (OCO) - WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
39,2021-08-28 13:54:19,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,,,,
40,2021-08-28 13:54:28,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
41,2021-08-28 13:55:37,Other,Q3 WILL START AT 16:00,,,,,,
42,2021-08-28 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
43,2021-08-28 14:02:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
44,2021-08-28 14:03:02,Flag,RED FLAG,,RED,Track,,,
45,2021-08-28 14:03:02,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
46,2021-08-28 14:42:17,Other,SESSION WILL RESUME AT 16:45,,,,,,
47,2021-08-28 14:42:43,Flag,TRACK CLEAR,,CLEAR,Track,,,
48,2021-08-28 14:45:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
49,2021-08-28 14:53:59,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
50,2021-08-28 14:54:48,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,,
