,15
RoundNumber,16
Country,Russia
Location,Sochi
OfficialEventName,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019
EventDate,2019-09-29 00:00:00
EventName,Russian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2019-09-27 11:00:00+03:00
Session1DateUtc,2019-09-27 08:00:00
Session2,Practice 2
Session2Date,2019-09-27 15:00:00+03:00
Session2DateUtc,2019-09-27 12:00:00
Session3,Practice 3
Session3Date,2019-09-28 12:00:00+03:00
Session3DateUtc,2019-09-28 09:00:00
Session4,Qualifying
Session4Date,2019-09-28 15:00:00+03:00
Session4DateUtc,2019-09-28 12:00:00
Session5,Race
Session5Date,2019-09-29 14:10:00+03:00
Session5DateUtc,2019-09-29 11:10:00
F1ApiSupport,True
