,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2022-10-01 12:45:30,Other,CHANGE IN CLIMATIC CONDITIONS,,,,,,
1,2022-10-01 12:45:32,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 20%,,,,,,
2,2022-10-01 12:45:47,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
3,2022-10-01 12:45:55,Drs,DRS DISABLED,DISABLED,,,,,
4,2022-10-01 12:45:56,Other,LOW GRIP CONDITIONS,,,,,,
5,2022-10-01 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
6,2022-10-01 13:05:59,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
7,2022-10-01 13:06:00,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
8,2022-10-01 13:06:46,CarEvent,CAR 20 (MAG) SPUN AND CONTINUED AT TURN 8,,,,,20,
9,2022-10-01 13:06:51,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
10,2022-10-01 13:07:03,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
11,2022-10-01 13:07:20,CarEvent,CAR 47 (MSC) OFF TRACK AND CONTINUED AT TURN 16,,,,,47,
12,2022-10-01 13:07:41,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
13,2022-10-01 13:07:43,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
14,2022-10-01 13:07:52,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 8,,,,,16,
15,2022-10-01 13:10:43,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
16,2022-10-01 13:10:48,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
17,2022-10-01 13:10:57,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 18,,,,,23,
18,2022-10-01 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
19,2022-10-01 13:18:16,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,,
20,2022-10-01 13:18:25,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,,
21,2022-10-01 13:18:34,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
22,2022-10-01 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
23,2022-10-01 13:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
24,2022-10-01 13:40:18,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,,
25,2022-10-01 13:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
26,2022-10-01 13:51:22,CarEvent,CAR 20 (MAG) OFF TRACK AND CONTINUED AT TURN 8,,,,,20,
27,2022-10-01 13:54:59,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
28,2022-10-01 13:55:24,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
29,2022-10-01 13:55:34,CarEvent,CAR 10 (GAS) OFF TRACK AND CONTINUED AT TURN 18,,,,,10,
30,2022-10-01 14:00:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
31,2022-10-01 14:00:37,Other,FIRST CAR TO TAKE THE FLAG - CAR 11 (PER),,,,,,
32,2022-10-01 14:07:04,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
