,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:27.904000,33.5,38.0,1009.0,False,53.6,16,0.6
1,0 days 00:01:27.909000,33.7,38.0,1009.0,False,53.6,40,0.6
2,0 days 00:02:27.909000,34.0,36.0,1009.0,False,53.8,13,0.8
3,0 days 00:03:27.911000,34.0,36.0,1009.0,False,53.9,47,1.2
4,0 days 00:04:27.909000,33.9,36.0,1009.0,False,53.9,101,1.2
5,0 days 00:05:27.911000,34.0,35.0,1009.0,False,53.9,62,1.3
6,0 days 00:06:27.909000,33.8,36.0,1008.7,False,53.1,119,2.5
7,0 days 00:07:27.910000,33.6,37.0,1008.7,False,53.0,78,2.4
8,0 days 00:08:27.908000,33.5,37.0,1008.7,False,52.9,78,3.2
9,0 days 00:09:27.909000,33.5,38.0,1008.9,False,53.1,78,3.2
10,0 days 00:10:27.910000,33.4,39.0,1008.7,False,53.1,85,2.5
11,0 days 00:11:27.911000,33.3,39.0,1008.7,False,53.1,39,1.2
12,0 days 00:12:27.912000,33.2,39.0,1008.9,False,52.9,0,2.2
13,0 days 00:13:27.914000,33.3,38.0,1009.0,False,53.2,83,1.2
14,0 days 00:14:27.911000,33.2,38.0,1008.7,False,53.3,73,3.0
15,0 days 00:15:27.920000,33.2,39.0,1008.9,False,53.2,159,1.2
16,0 days 00:16:27.910000,33.3,39.0,1008.9,False,53.2,23,1.2
17,0 days 00:17:27.920000,33.3,38.0,1008.7,False,53.7,337,1.6
18,0 days 00:18:27.910000,33.4,39.0,1008.7,False,53.7,350,1.6
19,0 days 00:19:27.909000,33.5,39.0,1008.7,False,53.2,328,2.2
20,0 days 00:20:27.910000,33.4,40.0,1008.7,False,50.9,310,2.2
21,0 days 00:21:27.907000,33.3,40.0,1008.7,False,50.3,348,2.2
22,0 days 00:22:27.910000,33.3,40.0,1008.9,False,49.6,333,2.9
23,0 days 00:23:27.913000,33.2,40.0,1008.7,False,49.5,44,2.0
24,0 days 00:24:27.912000,33.1,41.0,1008.7,False,49.1,327,0.8
25,0 days 00:25:27.910000,33.3,41.0,1008.7,False,50.4,326,1.5
26,0 days 00:26:27.918000,33.5,40.0,1008.7,False,51.8,0,2.4
27,0 days 00:27:27.913000,33.6,39.0,1008.7,False,51.9,328,1.3
28,0 days 00:28:27.924000,33.7,38.0,1008.5,False,51.9,52,1.3
29,0 days 00:29:27.910000,33.5,40.0,1008.5,False,50.8,80,0.8
30,0 days 00:30:27.912000,33.5,39.0,1008.5,False,50.8,343,1.5
31,0 days 00:31:27.909000,33.5,39.0,1008.5,False,51.0,19,1.7
32,0 days 00:32:27.921000,33.5,38.0,1008.5,False,52.3,113,2.2
33,0 days 00:33:27.910000,33.3,39.0,1008.4,False,51.1,353,1.2
34,0 days 00:34:27.919000,33.2,40.0,1008.5,False,50.8,342,1.6
35,0 days 00:35:27.910000,33.4,39.0,1008.5,False,51.8,339,1.7
36,0 days 00:36:27.914000,33.5,39.0,1008.5,False,51.8,351,1.2
37,0 days 00:37:27.902000,33.5,39.0,1008.5,False,52.0,78,0.8
38,0 days 00:38:27.910000,33.4,38.0,1008.5,False,51.8,84,1.1
39,0 days 00:39:27.912000,33.2,39.0,1008.5,False,51.7,75,1.6
40,0 days 00:40:27.910000,33.1,40.0,1008.5,False,51.2,128,3.0
41,0 days 00:41:27.913000,32.9,41.0,1008.5,False,50.3,115,1.7
42,0 days 00:42:27.912000,32.8,41.0,1008.5,False,50.4,88,2.5
43,0 days 00:43:27.913000,32.9,41.0,1008.5,False,50.4,87,2.2
44,0 days 00:44:27.909000,32.8,42.0,1008.5,False,50.4,308,2.0
45,0 days 00:45:27.920000,32.9,42.0,1008.4,False,51.1,305,3.2
46,0 days 00:46:27.911000,33.1,41.0,1008.4,False,51.3,69,2.2
47,0 days 00:47:27.913000,33.1,41.0,1008.4,False,51.5,344,1.2
48,0 days 00:48:27.911000,33.3,41.0,1008.2,False,51.1,323,1.7
49,0 days 00:49:27.911000,33.3,41.0,1008.2,False,51.1,160,1.7
