,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2019-05-25 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
1,2019-05-25 13:07:47,Other,TURN 18 INCIDENT INVOLVING CAR 99 (GIO) IMPEDING CAR 27 (HUL) UNDER INVESTIGATION,,,,,,
2,2019-05-25 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
3,2019-05-25 13:21:35,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
4,2019-05-25 13:24:05,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
5,2019-05-25 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
6,2019-05-25 13:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
7,2019-05-25 13:43:12,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,
8,2019-05-25 13:44:30,Other,TURN 4 INCIDENT INVOLVING CAR 10 (GAS) IMPEDING CAR 8 (GRO) UNDER INVESTIGATION,,,,,,
9,2019-05-25 13:45:30,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
10,2019-05-25 13:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
11,2019-05-25 14:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
12,2019-05-25 14:01:22,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
13,2019-05-25 14:02:08,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
14,2019-05-25 14:02:23,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
15,2019-05-25 14:02:26,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
16,2019-05-25 14:04:19,Other,"CARS 11 (PER), 16 (LEC) AND 27 (HUL) UNDER INVESTIGATION - WEIGHBRIDGE PROCEDURE IN Q1",,,,,,
17,2019-05-25 14:05:05,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
18,2019-05-25 14:05:50,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
