,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:17.964000,26.5,68.0,1012.0,False,39.9,34,0.8
1,0 days 00:01:17.999000,26.5,67.0,1012.1,False,40.6,12,1.6
2,0 days 00:02:18.029000,26.6,68.0,1012.2,False,40.7,343,1.9
3,0 days 00:03:18.017000,26.7,68.0,1012.1,False,41.7,308,1.2
4,0 days 00:04:18.020000,26.8,68.0,1012.3,False,42.2,313,1.4
5,0 days 00:05:18.053000,26.9,69.0,1012.2,False,42.1,329,0.8
6,0 days 00:06:18.063000,26.9,66.0,1012.3,False,42.6,283,1.6
7,0 days 00:07:18.072000,27.0,67.0,1012.3,False,43.2,311,1.2
8,0 days 00:08:18.072000,27.0,66.0,1012.2,False,43.2,309,2.0
9,0 days 00:09:18.083000,27.1,66.0,1012.1,False,43.1,285,1.8
10,0 days 00:10:18.102000,27.1,67.0,1012.1,False,43.2,328,1.0
11,0 days 00:11:18.103000,27.2,65.0,1012.1,False,42.7,103,0.8
12,0 days 00:12:18.103000,27.3,65.0,1012.1,False,43.0,108,1.3
13,0 days 00:13:18.107000,27.4,65.0,1012.1,False,43.0,67,0.9
14,0 days 00:14:18.122000,27.6,66.0,1012.2,False,42.9,80,0.8
15,0 days 00:15:18.144000,27.8,65.0,1012.2,False,44.1,98,1.4
16,0 days 00:16:18.139000,28.0,63.0,1012.4,False,44.5,66,1.5
17,0 days 00:17:18.146000,27.9,63.0,1012.5,False,44.5,0,0.7
18,0 days 00:18:18.144000,27.9,59.0,1012.5,False,45.2,89,0.4
19,0 days 00:19:18.146000,27.8,60.0,1012.5,False,44.6,7,1.4
20,0 days 00:20:18.168000,27.7,59.0,1012.6,False,43.3,3,1.4
21,0 days 00:21:18.170000,27.6,59.0,1012.5,False,42.8,339,1.1
22,0 days 00:22:18.199000,27.6,59.0,1012.5,False,41.9,43,0.8
23,0 days 00:23:18.207000,27.5,59.0,1012.5,False,43.2,95,1.6
24,0 days 00:24:18.207000,27.3,60.0,1012.5,False,40.7,64,2.4
25,0 days 00:25:18.184000,27.2,61.0,1012.6,False,39.8,70,1.2
26,0 days 00:26:18.201000,27.1,59.0,1012.5,False,39.8,65,1.7
27,0 days 00:27:18.199000,27.0,62.0,1012.5,False,40.8,354,2.0
28,0 days 00:28:18.224000,26.9,63.0,1012.6,False,43.2,121,1.3
29,0 days 00:29:18.224000,26.9,63.0,1012.5,False,43.9,105,1.7
30,0 days 00:30:18.237000,26.9,64.0,1012.6,False,43.6,120,2.0
31,0 days 00:31:18.240000,27.0,63.0,1012.6,False,43.6,109,2.0
32,0 days 00:32:18.275000,27.1,63.0,1012.7,False,42.8,95,2.4
33,0 days 00:33:18.288000,27.1,63.0,1012.8,False,42.6,82,1.6
34,0 days 00:34:18.288000,27.1,64.0,1012.7,False,41.8,0,0.9
35,0 days 00:35:18.262000,27.1,64.0,1012.8,False,41.8,0,1.0
36,0 days 00:36:18.289000,27.0,63.0,1012.8,False,42.0,358,0.7
37,0 days 00:37:18.285000,26.9,63.0,1012.7,False,41.7,351,1.0
38,0 days 00:38:18.296000,26.8,64.0,1012.7,False,40.7,349,2.3
39,0 days 00:39:18.312000,26.7,65.0,1012.7,False,40.3,10,1.4
40,0 days 00:40:18.330000,26.5,65.0,1012.8,False,40.3,99,0.5
41,0 days 00:41:18.334000,26.5,66.0,1012.8,False,40.3,105,1.2
42,0 days 00:42:18.320000,26.4,65.0,1012.7,False,40.3,337,0.5
43,0 days 00:43:18.355000,26.4,65.0,1012.7,False,40.3,330,1.8
44,0 days 00:44:18.355000,26.4,65.0,1012.7,False,40.2,2,1.8
45,0 days 00:45:18.377000,26.3,65.0,1012.8,False,40.2,307,1.3
46,0 days 00:46:18.377000,26.3,64.0,1012.7,False,37.4,324,1.2
47,0 days 00:47:18.406000,26.2,63.0,1012.6,False,37.4,68,1.1
48,0 days 00:48:18.416000,26.1,64.0,1012.6,False,39.8,104,1.3
49,0 days 00:49:18.405000,26.1,64.0,1012.6,False,39.8,0,0.6
50,0 days 00:50:18.418000,26.1,65.0,1012.5,False,39.4,161,0.7
51,0 days 00:51:18.428000,26.1,65.0,1012.6,False,40.0,245,0.3
52,0 days 00:52:18.448000,26.2,64.0,1012.6,False,40.8,310,0.4
53,0 days 00:53:18.459000,26.3,64.0,1012.5,False,40.9,0,0.4
54,0 days 00:54:18.459000,26.3,64.0,1012.5,False,40.9,15,0.6
55,0 days 00:55:18.459000,26.3,65.0,1012.5,False,39.8,283,1.2
56,0 days 00:56:18.461000,26.3,65.0,1012.5,False,39.8,283,1.2
57,0 days 00:57:18.470000,26.3,65.0,1012.5,False,39.7,243,1.2
58,0 days 00:58:18.481000,26.4,64.0,1012.4,False,40.0,147,1.3
59,0 days 00:59:18.497000,26.4,64.0,1012.3,False,40.3,105,1.2
60,0 days 01:00:18.502000,26.5,62.0,1012.4,False,40.1,89,1.2
61,0 days 01:01:18.508000,26.7,63.0,1012.3,False,39.8,219,0.8
62,0 days 01:02:18.511000,26.7,62.0,1012.3,False,39.1,10,0.7
63,0 days 01:03:18.497000,26.6,63.0,1012.4,False,39.0,4,0.4
64,0 days 01:04:18.521000,26.5,63.0,1012.5,False,38.6,10,1.4
65,0 days 01:05:18.537000,26.4,64.0,1012.5,False,38.5,229,1.3
66,0 days 01:06:18.537000,26.4,64.0,1012.5,False,38.4,0,0.0
67,0 days 01:07:18.541000,26.5,65.0,1012.6,False,38.5,355,1.0
68,0 days 01:08:18.546000,26.6,64.0,1012.5,False,38.9,346,0.8
69,0 days 01:09:18.559000,26.6,63.0,1012.6,False,38.9,0,0.7
70,0 days 01:10:18.561000,26.6,63.0,1012.5,False,38.9,189,0.9
71,0 days 01:11:18.549000,26.7,62.0,1012.4,False,38.9,302,1.0
72,0 days 01:12:18.545000,26.7,61.0,1012.6,False,39.0,40,1.0
73,0 days 01:13:18.544000,26.7,62.0,1012.6,False,38.9,324,1.4
74,0 days 01:14:18.550000,26.6,62.0,1012.6,False,38.5,338,1.3
75,0 days 01:15:18.552000,26.6,62.0,1012.6,False,38.5,95,1.1
