,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:12.962000,21.3,57.0,1015.2,False,41.9,289,1.3
1,0 days 00:01:12.985000,21.4,57.0,1015.2,False,41.8,181,0.4
2,0 days 00:02:12.985000,21.1,59.0,1015.2,False,41.3,148,0.7
3,0 days 00:03:13.001000,21.0,60.0,1015.1,False,41.3,28,0.8
4,0 days 00:04:12.986000,21.1,59.0,1015.1,False,41.8,338,0.7
5,0 days 00:05:13.002000,21.2,58.0,1015.2,False,41.8,175,0.8
6,0 days 00:06:13.034000,21.2,58.0,1015.0,False,41.8,347,1.5
7,0 days 00:07:13.034000,21.3,57.0,1015.1,False,42.0,0,0.6
8,0 days 00:08:13.031000,21.2,57.0,1015.0,False,42.0,211,1.1
9,0 days 00:09:13.036000,21.0,60.0,1015.1,False,40.5,265,1.8
10,0 days 00:10:13.014000,21.0,62.0,1015.0,False,40.6,283,0.5
11,0 days 00:11:13.030000,21.0,61.0,1015.1,False,40.6,176,0.6
12,0 days 00:12:13.031000,21.0,61.0,1015.0,False,40.9,189,1.4
13,0 days 00:13:13.047000,21.0,62.0,1015.1,False,40.8,314,0.7
14,0 days 00:14:13.032000,21.0,62.0,1015.1,False,41.1,281,0.6
15,0 days 00:15:13.017000,21.0,60.0,1015.0,False,41.3,318,0.3
16,0 days 00:16:13.033000,21.1,58.0,1015.1,False,41.1,148,0.5
17,0 days 00:17:13.033000,21.0,59.0,1015.1,False,41.1,328,1.0
18,0 days 00:18:13.041000,20.9,60.0,1015.0,False,40.6,187,0.7
19,0 days 00:19:13.035000,21.0,59.0,1015.1,False,41.1,0,0.4
20,0 days 00:20:13.020000,21.1,59.0,1015.1,False,41.1,300,0.8
21,0 days 00:21:13.036000,21.2,59.0,1015.1,False,41.7,199,0.8
22,0 days 00:22:13.034000,21.4,57.0,1015.1,False,41.7,220,0.9
23,0 days 00:23:13.028000,21.6,58.0,1015.1,False,41.8,213,1.3
24,0 days 00:24:13.036000,21.5,58.0,1015.1,False,41.7,228,0.7
25,0 days 00:25:13.029000,21.5,58.0,1015.1,False,41.4,291,0.8
26,0 days 00:26:13.045000,21.5,57.0,1015.1,False,41.4,337,1.1
27,0 days 00:27:13.030000,21.5,58.0,1015.1,False,41.5,182,0.8
28,0 days 00:28:13.030000,21.4,56.0,1015.2,False,41.2,320,0.9
29,0 days 00:29:13.047000,21.4,58.0,1015.2,False,41.3,193,0.7
30,0 days 00:30:13.032000,21.3,58.0,1015.1,False,41.4,183,1.8
31,0 days 00:31:13.033000,21.3,58.0,1015.1,False,41.5,0,0.7
32,0 days 00:32:13.033000,21.5,59.0,1015.1,False,41.2,182,0.7
33,0 days 00:33:13.065000,21.5,59.0,1015.0,False,41.2,198,2.0
34,0 days 00:34:13.050000,21.6,59.0,1014.9,False,41.1,188,1.0
35,0 days 00:35:13.050000,21.7,58.0,1014.9,False,41.1,257,0.7
36,0 days 00:36:13.082000,21.5,60.0,1015.0,False,39.4,299,0.9
37,0 days 00:37:13.091000,21.3,62.0,1015.0,False,39.4,33,0.6
38,0 days 00:38:13.086000,21.2,61.0,1015.0,False,40.0,24,0.6
39,0 days 00:39:13.136000,21.3,59.0,1015.0,False,40.5,337,0.8
40,0 days 00:40:13.100000,21.2,60.0,1015.0,False,40.5,304,1.5
41,0 days 00:41:13.117000,21.3,61.0,1014.9,False,40.1,243,0.8
42,0 days 00:42:13.102000,21.2,61.0,1014.9,False,40.1,311,0.0
43,0 days 00:43:13.118000,21.0,61.0,1015.0,False,40.3,343,1.0
44,0 days 00:44:13.150000,21.0,61.0,1014.9,False,39.9,0,0.5
45,0 days 00:45:13.135000,21.1,60.0,1014.9,False,40.5,304,0.7
46,0 days 00:46:13.151000,21.1,60.0,1014.9,False,40.7,343,0.7
47,0 days 00:47:13.168000,21.1,59.0,1014.8,False,40.8,224,1.0
48,0 days 00:48:13.168000,21.2,58.0,1014.9,False,40.9,251,0.8
49,0 days 00:49:13.169000,21.2,57.0,1014.9,False,41.3,181,0.7
50,0 days 00:50:13.169000,21.2,59.0,1014.9,False,40.7,145,1.1
51,0 days 00:51:13.170000,21.2,58.0,1014.9,False,40.6,331,0.4
52,0 days 00:52:13.170000,21.1,59.0,1014.9,False,40.9,314,1.0
53,0 days 00:53:13.186000,21.1,57.0,1014.8,False,40.1,183,1.1
54,0 days 00:54:13.171000,21.1,57.0,1014.8,False,40.1,344,0.6
55,0 days 00:55:13.187000,21.1,57.0,1014.9,False,40.1,296,1.1
56,0 days 00:56:13.172000,21.2,57.0,1014.9,False,40.4,338,1.0
57,0 days 00:57:13.187000,21.2,58.0,1014.7,False,39.7,339,1.9
58,0 days 00:58:13.172000,21.0,59.0,1014.8,False,39.4,344,1.3
59,0 days 00:59:13.187000,20.9,60.0,1014.8,False,38.7,343,1.5
60,0 days 01:00:13.188000,20.8,61.0,1014.7,False,38.9,313,1.9
61,0 days 01:01:13.188000,20.8,60.0,1014.8,False,39.4,180,1.9
62,0 days 01:02:13.188000,20.7,61.0,1014.7,False,39.6,183,0.7
63,0 days 01:03:13.189000,20.8,60.0,1014.8,False,39.9,0,1.0
64,0 days 01:04:13.189000,20.9,61.0,1014.9,False,40.1,179,0.4
65,0 days 01:05:13.189000,21.1,60.0,1014.7,False,39.6,178,1.0
66,0 days 01:06:13.190000,21.0,61.0,1014.8,False,39.6,204,1.8
67,0 days 01:07:13.179000,21.1,60.0,1014.8,False,40.2,321,0.6
68,0 days 01:08:13.207000,21.1,59.0,1014.7,False,40.5,0,0.8
69,0 days 01:09:13.189000,21.1,60.0,1014.8,False,39.9,108,0.4
70,0 days 01:10:13.211000,21.1,61.0,1014.6,False,39.9,178,0.8
71,0 days 01:11:13.196000,21.2,60.0,1014.8,False,40.0,135,1.0
72,0 days 01:12:13.181000,21.1,60.0,1014.7,False,40.0,211,1.1
73,0 days 01:13:13.181000,21.2,58.0,1014.8,False,40.3,263,1.0
74,0 days 01:14:13.182000,21.3,58.0,1014.7,False,40.3,325,0.7
75,0 days 01:15:13.182000,21.1,58.0,1014.8,False,40.0,288,1.2
76,0 days 01:16:13.199000,20.9,59.0,1014.8,False,39.1,281,1.0
77,0 days 01:17:13.183000,20.9,59.0,1014.8,False,38.6,317,0.6
78,0 days 01:18:13.184000,20.9,60.0,1014.8,False,39.1,0,1.1
79,0 days 01:19:13.200000,20.9,60.0,1014.9,False,39.2,271,0.8
80,0 days 01:20:13.200000,21.0,60.0,1014.9,False,39.2,0,0.4
81,0 days 01:21:13.195000,21.0,60.0,1014.9,False,38.9,58,0.0
82,0 days 01:22:13.196000,21.0,61.0,1014.8,False,38.9,314,0.4
83,0 days 01:23:13.201000,21.1,61.0,1014.8,False,39.8,191,0.7
