,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2022-11-19 13:44:30,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
1,2022-11-19 13:45:02,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
2,2022-11-19 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
3,2022-11-19 14:08:42,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
4,2022-11-19 14:08:45,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
5,2022-11-19 14:10:48,Other,CAR 23 (ALB) TIME 1:26.440 DELETED - TRACK LIMITS AT TURN 1 LAP 6 18:08:15,,,,,,
6,2022-11-19 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
7,2022-11-19 14:18:53,Other,FIRST CAR TO TAKE THE FLAG - CAR 47 (MSC),,,,,,
8,2022-11-19 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
9,2022-11-19 14:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
10,2022-11-19 14:40:27,Other,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC),,,,,,
11,2022-11-19 14:41:44,Other,CAR 11 (PER) TIME 1:24.985 DELETED - TRACK LIMITS AT TURN 1 LAP 12 18:39:10,,,,,,
12,2022-11-19 14:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
13,2022-11-19 15:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
14,2022-11-19 15:00:16,Other,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER),,,,,,
