,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2020-09-05 12:48:07,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
1,2020-09-05 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2,2020-09-05 13:04:51,Other,CAR 16 (LEC) TIME 1:20.970 DELETED - TRACK LIMITS AT TURN 11,,,,,,
3,2020-09-05 13:05:22,Other,CAR 20 (MAG) TIME 1:21.618 DELETED - TRACK LIMITS AT TURN 11,,,,,,
4,2020-09-05 13:08:29,Other,CAR 10 (GAS) TIME 1:20.171 DELETED - TRACK LIMITS AT TURN 11,,,,,,
5,2020-09-05 13:09:18,Other,CAR 18 (STR) TIME 1:20.402 DELETED - TRACK LIMITS AT TURN 11,,,,,,
6,2020-09-05 13:10:04,Other,CAR 10 (GAS) TIME 1:41.641 DELETED - TRACK LIMITS AT TURN 11,,,,,,
7,2020-09-05 13:10:23,Other,CAR 18 (STR) TIME 1:40.268 DELETED - TRACK LIMITS AT TURN 11,,,,,,
8,2020-09-05 13:11:47,Other,CAR 23 (ALB) TIME 1:20.618 DELETED - TRACK LIMITS AT TURN 11,,,,,,
9,2020-09-05 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
10,2020-09-05 13:22:26,Other,INCIDENT WITH MULTIPLE CARS AT TURN 11 NOTED,,,,,,
11,2020-09-05 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
12,2020-09-05 13:31:40,Other,"Q1 INCIDENT INVOLVING CARS 31 (OCO), 6 (LAT) AND 7 (RAI) WILL BE INVESTIGATED AFTER THE SESSION",,,,,,
13,2020-09-05 13:39:11,CarEvent,CAR 3 (RIC) OFF TRACK AND CONTINUED AT TURN 5,,,,,3,
14,2020-09-05 13:39:51,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
15,2020-09-05 13:39:52,Other,DRS DISABLED IN ZONE 1,,,,,,
16,2020-09-05 13:39:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
17,2020-09-05 13:39:59,Other,DRS ENABLED IN ZONE 1,,,,,,
18,2020-09-05 13:39:59,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
19,2020-09-05 13:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
20,2020-09-05 13:40:03,CarEvent,CAR 20 (MAG) OFF TRACK AND CONTINUED AT TURN 7,,,,,20,
21,2020-09-05 13:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
22,2020-09-05 13:51:47,Other,CAR 23 (ALB) TIME 1:20.079 DELETED - TRACK LIMITS AT TURN 11,,,,,,
23,2020-09-05 14:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
