,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2022-10-29 19:46:06,Other,DRS ENABLED IN ZONE 1,,,,,,
1,2022-10-29 19:46:47,Other,DRS ENABLED IN ZONE 3,,,,,,
2,2022-10-29 19:49:00,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
3,2022-10-29 19:49:00,Other,DRS ENABLED IN ZONE 2,,,,,,
4,2022-10-29 19:52:25,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
5,2022-10-29 20:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
6,2022-10-29 20:14:43,Other,CAR 47 (MSC) TIME 1:19.695 DELETED - TRACK LIMITS AT TURN 2 LAP 9 15:13:35,,,,,,
7,2022-10-29 20:16:29,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
8,2022-10-29 20:16:30,Other,DRS DISABLED IN ZONE 1,,,,,,
9,2022-10-29 20:16:31,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
10,2022-10-29 20:16:31,Other,DRS ENABLED IN ZONE 1,,,,,,
11,2022-10-29 20:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
12,2022-10-29 20:18:08,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,,
13,2022-10-29 20:24:17,Other,CAR 23 (ALB) TIME 1:21.473 DELETED - TRACK LIMITS AT TURN 8 LAP 10 15:17:42,,,,,,
14,2022-10-29 20:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
15,2022-10-29 20:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
16,2022-10-29 20:40:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 4 (NOR),,,,,,
17,2022-10-29 20:48:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
18,2022-10-29 20:52:18,Other,CAR 44 (HAM) TIME 1:18.094 DELETED - TRACK LIMITS AT TURN 3 LAP 16 15:51:11,,,,,,
19,2022-10-29 21:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
20,2022-10-29 21:00:02,Other,CAR 63 (RUS) TIME 1:19.376 DELETED - TRACK LIMITS AT TURN 12 LAP 18 15:59:37,,,,,,
